name,CV_RMSE,CV_RMSE_std,CV_R2,RPD,Train_RMSE,Overfit_ratio
detrend,37.02405424411608,14.101321317722036,0.41742044511981635,1.3376364430332888,18.35261852673416,0.49569445868156886
raw,37.031706456081665,19.82507535970936,0.34143859213831645,1.3373600345559447,16.190402861138185,0.4372038021077816
snv+sg2,47.22214696405206,54.43424078870876,-0.40933426525209604,1.0487605373697166,21.286584083488385,0.4507754401699024
sg2,66.45877969389792,77.59964080848424,-1.7711841283205785,0.7451946071516298,22.489160459539328,0.3383926181480011
msc+sg2,73.26777203239718,104.97233761031778,-3.2042445347919943,0.6759414521827193,21.75501989501671,0.29692481825975525
detrend+sg1,79.4749252712067,111.08136259500067,-3.7743441643524376,0.6231490505561191,19.81821985649305,0.24936443524625843
sg1,81.81201586569654,115.39501868949642,-4.114777498475785,0.6053478049858994,19.80508676226085,0.24208041511619866
snv+sg1,108.06547060910641,176.0037527341136,-9.704191268208934,0.45828444503713334,16.90556633917236,0.1564381873681284
snv,165.9460068858251,264.0007177571727,-23.465199060581302,0.2984387823193913,14.929428105174685,0.08996557606502996
msc,168.46806939925304,297.3718680815437,-28.153763716528438,0.29397098454545806,16.11620468948958,0.09566325979135984
